0,0,1,20,3
1,1,2,20,3
2,2,3,20,3
3,3,4,20,3
4,4,5,20,3
5,6,7,20,3
6,7,8,20,3
7,8,9,20,3
8,9,10,20,3
9,10,11,20,3
10,12,13,20,3
11,13,14,20,3
12,14,15,20,3
13,15,16,20,3
14,16,17,20,3
15,18,19,20,3
16,19,20,20,3
17,20,21,20,3
18,21,22,20,3
19,22,23,20,3
20,24,25,20,3
21,25,26,20,3
22,26,27,20,3
23,27,28,20,3
24,28,29,20,3
25,30,31,20,3
26,31,32,20,3
27,32,33,20,3
28,33,34,20,3
29,34,35,20,3
30,0,6,20,3
31,6,12,20,3
32,12,18,20,3
33,18,24,20,3
34,24,30,20,3
35,1,7,20,3
36,7,13,20,3
37,13,19,20,3
38,19,25,20,3
39,25,31,20,3
40,2,8,20,3
41,8,14,20,3
42,14,20,20,3
43,20,26,20,3
44,26,32,20,3
45,3,9,20,3
46,9,15,20,3
47,15,21,20,3
48,21,27,20,3
49,27,33,20,3
50,4,10,20,3
51,10,16,20,3
52,16,22,20,3
53,22,28,20,3
54,28,34,20,3
55,5,11,20,3
56,11,17,20,3
57,17,23,20,3
58,23,29,20,3
59,29,35,20,3
60,0,7,28,3
61,7,14,28,3
62,14,21,28,3
63,21,28,28,3
64,28,35,28,3
65,2,9,28,3
66,9,16,28,3
67,16,23,28,3
68,13,20,28,3
69,20,27,28,3
70,27,34,28,3
